Folder Name,File Name,Complete Path
COVID-19,COVID-19 (158).jpg,CuratedDB_train_test/COVID-19/COVID-19 (158).jpg
COVID-19,COVID-19 (396).jpg,CuratedDB_train_test/COVID-19/COVID-19 (396).jpg
COVID-19,COVID-19 (863).jpg,CuratedDB_train_test/COVID-19/COVID-19 (863).jpg
COVID-19,COVID-19 (814).jpg,CuratedDB_train_test/COVID-19/COVID-19 (814).jpg
COVID-19,COVID-19 (1259).jpg,CuratedDB_train_test/COVID-19/COVID-19 (1259).jpg
COVID-19,COVID-19 (1103).jpg,CuratedDB_train_test/COVID-19/COVID-19 (1103).jpg
COVID-19,COVID-19 (669).jpg,CuratedDB_train_test/COVID-19/COVID-19 (669).jpg
COVID-19,COVID-19 (267).jpg,CuratedDB_train_test/COVID-19/COVID-19 (267).jpg
COVID-19,COVID-19 (174).jpg,CuratedDB_train_test/COVID-19/COVID-19 (174).jpg
COVID-19,COVID-19 (638).jpg,CuratedDB_train_test/COVID-19/COVID-19 (638).jpg
COVID-19,COVID-19 (269).jpg,CuratedDB_train_test/COVID-19/COVID-19 (269).jpg
COVID-19,COVID-19 (428).jpg,CuratedDB_train_test/COVID-19/COVID-19 (428).jpg
COVID-19,COVID-19 (399).jpg,CuratedDB_train_test/COVID-19/COVID-19 (399).jpg
COVID-19,COVID-19 (658).jpg,CuratedDB_train_test/COVID-19/COVID-19 (658).jpg
COVID-19,COVID-19 (948).jpg,CuratedDB_train_test/COVID-19/COVID-19 (948).jpg
COVID-19,COVID-19 (996).jpg,CuratedDB_train_test/COVID-19/COVID-19 (996).jpg
COVID-19,COVID-19 (1070).jpg,CuratedDB_train_test/COVID-19/COVID-19 (1070).jpg
COVID-19,COVID-19 (1248).jpg,CuratedDB_train_test/COVID-19/COVID-19 (1248).jpg
COVID-19,COVID-19 (868).jpg,CuratedDB_train_test/COVID-19/COVID-19 (868).jpg
COVID-19,COVID-19 (775).jpg,CuratedDB_train_test/COVID-19/COVID-19 (775).jpg
COVID-19,COVID-19 (670).jpg,CuratedDB_train_test/COVID-19/COVID-19 (670).jpg
COVID-19,COVID-19 (327).jpg,CuratedDB_train_test/COVID-19/COVID-19 (327).jpg
COVID-19,COVID-19 (551).jpg,CuratedDB_train_test/COVID-19/COVID-19 (551).jpg
COVID-19,COVID-19 (256).jpg,CuratedDB_train_test/COVID-19/COVID-19 (256).jpg
COVID-19,COVID-19 (143).jpg,CuratedDB_train_test/COVID-19/COVID-19 (143).jpg
COVID-19,COVID-19 (322).jpg,CuratedDB_train_test/COVID-19/COVID-19 (322).jpg
COVID-19,COVID-19 (230).jpg,CuratedDB_train_test/COVID-19/COVID-19 (230).jpg
COVID-19,COVID-19 (631).jpg,CuratedDB_train_test/COVID-19/COVID-19 (631).jpg
COVID-19,COVID-19 (490).jpg,CuratedDB_train_test/COVID-19/COVID-19 (490).jpg
COVID-19,COVID-19 (514).jpg,CuratedDB_train_test/COVID-19/COVID-19 (514).jpg
COVID-19,COVID-19 (536).jpg,CuratedDB_train_test/COVID-19/COVID-19 (536).jpg
COVID-19,COVID-19 (752).jpg,CuratedDB_train_test/COVID-19/COVID-19 (752).jpg
COVID-19,COVID-19 (188).jpg,CuratedDB_train_test/COVID-19/COVID-19 (188).jpg
COVID-19,COVID-19 (198).jpg,CuratedDB_train_test/COVID-19/COVID-19 (198).jpg
COVID-19,COVID-19 (474).jpg,CuratedDB_train_test/COVID-19/COVID-19 (474).jpg
COVID-19,COVID-19 (714).jpg,CuratedDB_train_test/COVID-19/COVID-19 (714).jpg
COVID-19,COVID-19 (314).jpg,CuratedDB_train_test/COVID-19/COVID-19 (314).jpg
COVID-19,COVID-19 (1080).jpg,CuratedDB_train_test/COVID-19/COVID-19 (1080).jpg
COVID-19,COVID-19 (1151).jpg,CuratedDB_train_test/COVID-19/COVID-19 (1151).jpg
COVID-19,COVID-19 (1146).jpg,CuratedDB_train_test/COVID-19/COVID-19 (1146).jpg
COVID-19,COVID-19 (1062).jpg,CuratedDB_train_test/COVID-19/COVID-19 (1062).jpg
COVID-19,COVID-19 (90).jpg,CuratedDB_train_test/COVID-19/COVID-19 (90).jpg
COVID-19,COVID-19 (1200).jpg,CuratedDB_train_test/COVID-19/COVID-19 (1200).jpg
COVID-19,COVID-19 (1238).jpg,CuratedDB_train_test/COVID-19/COVID-19 (1238).jpg
COVID-19,COVID-19 (87).jpg,CuratedDB_train_test/COVID-19/COVID-19 (87).jpg
COVID-19,COVID-19 (1277).jpg,CuratedDB_train_test/COVID-19/COVID-19 (1277).jpg
COVID-19,COVID-19 (1107).jpg,CuratedDB_train_test/COVID-19/COVID-19 (1107).jpg
COVID-19,COVID-19 (316).jpg,CuratedDB_train_test/COVID-19/COVID-19 (316).jpg
COVID-19,COVID-19 (725).jpg,CuratedDB_train_test/COVID-19/COVID-19 (725).jpg
COVID-19,COVID-19 (141).jpg,CuratedDB_train_test/COVID-19/COVID-19 (141).jpg
COVID-19,COVID-19 (245).jpg,CuratedDB_train_test/COVID-19/COVID-19 (245).jpg
COVID-19,COVID-19 (1172).jpg,CuratedDB_train_test/COVID-19/COVID-19 (1172).jpg
COVID-19,COVID-19 (711).jpg,CuratedDB_train_test/COVID-19/COVID-19 (711).jpg
COVID-19,COVID-19 (107).jpg,CuratedDB_train_test/COVID-19/COVID-19 (107).jpg
COVID-19,COVID-19 (543).jpg,CuratedDB_train_test/COVID-19/COVID-19 (543).jpg
COVID-19,COVID-19 (13).jpg,CuratedDB_train_test/COVID-19/COVID-19 (13).jpg
COVID-19,COVID-19 (949).jpg,CuratedDB_train_test/COVID-19/COVID-19 (949).jpg
COVID-19,COVID-19 (1).jpg,CuratedDB_train_test/COVID-19/COVID-19 (1).jpg
COVID-19,COVID-19 (347).jpg,CuratedDB_train_test/COVID-19/COVID-19 (347).jpg
COVID-19,COVID-19 (957).jpg,CuratedDB_train_test/COVID-19/COVID-19 (957).jpg
COVID-19,COVID-19 (212).jpg,CuratedDB_train_test/COVID-19/COVID-19 (212).jpg
COVID-19,COVID-19 (467).jpg,CuratedDB_train_test/COVID-19/COVID-19 (467).jpg
